Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:03:49,2021-02-16 11:03:59,"10,730s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:03:49,2021-02-16 11:03:56,"7,416s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:03:56,2021-02-16 11:03:58,"2,306s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:03:58,2021-02-16 11:03:59,"0,642s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:03:59,2021-02-16 11:03:59,"0,361s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:03:59,2021-02-16 11:04:10,"10,736s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:03:59,2021-02-16 11:04:06,"7,054s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:04:06,2021-02-16 11:04:09,"2,677s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:04:09,2021-02-16 11:04:10,"0,646s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:04:10,2021-02-16 11:04:10,"0,355s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:04:10,2021-02-16 11:04:23,"13,381s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:04:10,2021-02-16 11:04:17,"6,931s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:04:17,2021-02-16 11:04:22,"5,459s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:04:22,2021-02-16 11:04:23,"0,640s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:04:23,2021-02-16 11:04:23,"0,348s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:04:23,2021-02-16 11:04:34,"10,497s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:04:23,2021-02-16 11:04:30,"7,015s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:04:30,2021-02-16 11:04:33,"2,485s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:04:33,2021-02-16 11:04:34,"0,651s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:04:34,2021-02-16 11:04:34,"0,341s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:04:34,2021-02-16 11:04:44,"10,276s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:04:34,2021-02-16 11:04:41,"6,990s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:04:41,2021-02-16 11:04:43,"2,293s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:04:43,2021-02-16 11:04:44,"0,629s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:04:44,2021-02-16 11:04:44,"0,359s",PASSED
