Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PruebaRapidaFuncional,Chrome 88.0.4324.150,,,2021-02-16 11:28:50,2021-02-16 11:29:02,"12,281s",PASSED
,,,,,,,
Test Cases/PruebaFuncional,Chrome 88.0.4324.150,Prueba rápida funcional de la App Factorial,,2021-02-16 11:28:51,2021-02-16 11:29:02,"11,375s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:28:51,2021-02-16 11:28:59,"7,197s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:28:59,2021-02-16 11:29:01,"2,371s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""))",Chrome 88.0.4324.150,,,2021-02-16 11:29:01,2021-02-16 11:29:01,"0,405s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), ""5"")",Chrome 88.0.4324.150,,,2021-02-16 11:29:01,2021-02-16 11:29:02,"0,662s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:29:02,2021-02-16 11:29:02,"0,355s",PASSED
