Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PruebaConDatosVarios,Chrome 88.0.4324.150,Conbinación de PruebaDatosVarios con DatosVarios para ejecutar diferentes tipos de datos.,,2021-02-16 11:09:16,2021-02-16 11:13:21,"4m - 4,194s",FAILED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:09:17,2021-02-16 11:09:30,"12,562s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:09:18,2021-02-16 11:09:25,"6,923s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:09:25,2021-02-16 11:09:29,"4,237s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:09:29,2021-02-16 11:09:29,"0,704s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:09:29,2021-02-16 11:09:30,"0,357s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:09:30,2021-02-16 11:09:40,"10,307s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:09:30,2021-02-16 11:09:37,"6,945s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:09:37,2021-02-16 11:09:39,"2,354s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:09:39,2021-02-16 11:09:40,"0,643s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:09:40,2021-02-16 11:09:40,"0,358s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:09:40,2021-02-16 11:09:51,"10,393s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:09:40,2021-02-16 11:09:47,"7,171s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:09:47,2021-02-16 11:09:50,"2,202s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:09:50,2021-02-16 11:09:50,"0,656s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:09:50,2021-02-16 11:09:51,"0,358s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:09:51,2021-02-16 11:10:02,"11,307s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:09:51,2021-02-16 11:09:58,"6,946s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:09:58,2021-02-16 11:10:01,"3,336s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:01,2021-02-16 11:10:02,"0,665s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:02,2021-02-16 11:10:02,"0,355s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:02,2021-02-16 11:10:12,"10,441s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:02,2021-02-16 11:10:09,"6,976s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:10:09,2021-02-16 11:10:11,"2,471s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:11,2021-02-16 11:10:12,"0,642s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:12,2021-02-16 11:10:12,"0,346s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:12,2021-02-16 11:10:23,"10,303s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:12,2021-02-16 11:10:19,"7,069s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:10:19,2021-02-16 11:10:22,"2,230s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:22,2021-02-16 11:10:22,"0,647s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:22,2021-02-16 11:10:23,"0,352s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:23,2021-02-16 11:10:33,"10,543s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:23,2021-02-16 11:10:30,"7,039s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:10:30,2021-02-16 11:10:32,"2,519s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:32,2021-02-16 11:10:33,"0,634s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:33,2021-02-16 11:10:33,"0,347s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:33,2021-02-16 11:10:44,"10,295s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:33,2021-02-16 11:10:40,"7,139s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:10:40,2021-02-16 11:10:43,"2,161s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:43,2021-02-16 11:10:43,"0,645s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:43,2021-02-16 11:10:44,"0,344s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:44,2021-02-16 11:10:55,"11,796s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:44,2021-02-16 11:10:51,"7,004s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:10:51,2021-02-16 11:10:54,"3,815s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:10:54,2021-02-16 11:10:55,"0,631s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:10:55,2021-02-16 11:10:55,"0,343s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:10:55,2021-02-16 11:11:35,"39,995s",FAILED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:10:55,2021-02-16 11:11:03,"7,400s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:11:03,2021-02-16 11:11:04,"1,156s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:11:04,2021-02-16 11:11:35,"31,434s",FAILED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:11:35,2021-02-16 11:11:46,"10,602s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:11:35,2021-02-16 11:11:43,"7,253s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:11:43,2021-02-16 11:11:45,"2,346s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:11:45,2021-02-16 11:11:46,"0,644s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:11:46,2021-02-16 11:11:46,"0,355s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:11:46,2021-02-16 11:11:56,"10,339s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:11:46,2021-02-16 11:11:53,"7,011s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:11:53,2021-02-16 11:11:55,"2,327s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:11:55,2021-02-16 11:11:56,"0,637s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:11:56,2021-02-16 11:11:56,"0,358s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:11:56,2021-02-16 11:12:07,"10,419s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:11:56,2021-02-16 11:12:04,"7,196s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:12:04,2021-02-16 11:12:06,"2,228s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:12:06,2021-02-16 11:12:06,"0,648s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:12:06,2021-02-16 11:12:07,"0,343s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:12:07,2021-02-16 11:12:18,"10,970s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:12:07,2021-02-16 11:12:14,"7,080s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:12:14,2021-02-16 11:12:17,"2,904s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:12:17,2021-02-16 11:12:17,"0,639s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:12:17,2021-02-16 11:12:18,"0,342s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:12:18,2021-02-16 11:12:28,"10,277s",PASSED
