Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:48:38,2021-02-16 11:48:48,"10,239s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:48:38,2021-02-16 11:48:44,"6,282s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:48:44,2021-02-16 11:48:46,"2,198s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:48:46,2021-02-16 11:48:47,"0,655s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:48:47,2021-02-16 11:48:47,"0,356s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:48:47,2021-02-16 11:48:48,"0,744s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:48:48,2021-02-16 11:48:58,"10,228s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:48:48,2021-02-16 11:48:54,"6,341s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:48:54,2021-02-16 11:48:56,"2,177s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:48:56,2021-02-16 11:48:57,"0,645s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:48:57,2021-02-16 11:48:57,"0,352s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:48:57,2021-02-16 11:48:58,"0,708s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:48:58,2021-02-16 11:49:08,"10,241s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:48:58,2021-02-16 11:49:04,"6,245s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:04,2021-02-16 11:49:07,"2,249s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:49:07,2021-02-16 11:49:07,"0,649s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:49:07,2021-02-16 11:49:08,"0,351s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:49:08,2021-02-16 11:49:08,"0,743s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:49:08,2021-02-16 11:49:19,"10,309s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:49:08,2021-02-16 11:49:15,"6,307s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:15,2021-02-16 11:49:17,"2,246s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:49:17,2021-02-16 11:49:18,"0,650s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:49:18,2021-02-16 11:49:18,"0,361s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:49:18,2021-02-16 11:49:19,"0,740s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:49:19,2021-02-16 11:49:29,"10,161s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:49:19,2021-02-16 11:49:25,"6,221s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:25,2021-02-16 11:49:27,"2,187s",PASSED
